type;nl_key;color_name;photo;nl_cl;stock;price
Honda ADV 150;adv150;Black;https://www.hondacengkareng.com/wp-content/uploads/2019/07/Honda-ADV-150-CBS-Tough-Matte-Black.jpg;hitam;20;33556000
Honda ADV 150;adv150;Red;https://www.hondacengkareng.com/wp-content/uploads/2019/07/Honda-ADV-150-CBS-Tough-Red.jpg;merah;10;33556000
Honda ADV 150;adv150;White;https://www.hondacengkareng.com/wp-content/uploads/2019/07/Honda-ADV-150-ABS-Advance-White.jpg;putih;25;33556000
Honda Genio CBS Smart;genioCbsSmart;Black;https://www.hondacengkareng.com/wp-content/uploads/2019/07/Honda-Genio-CBS-Smart-Black.jpg;hitam;20;36556000
Honda Genio CBS Smart;genioCbsSmart;Red;https://www.hondacengkareng.com/wp-content/uploads/2019/07/Honda-Genio-CBS-Smart-Red.jpg;merah;20;36556000
Honda Genio CBS Smart;genioCbsSmart;White;https://www.hondacengkareng.com/wp-content/uploads/2019/07/Honda-Genio-CBS-ISS-Trendy-White-Blue.jpg;putih;20;36556000
Honda New CBR 250RR;newCBR;Black;https://www.hondacengkareng.com/wp-content/uploads/2018/11/honda-new-cbr-250rr.jpg;hitam;5;60661000
Honda New CBR 250RR;newCBR;Red;https://www.hondacengkareng.com/wp-content/uploads/2018/11/honda-new-cbr-250rr-std-bravery-mat-red-1.jpg;merah;8;60661000
